Country Name,total,male,female
Monaco,86,85,88
Macau,85,82,87
Japan,84,81,87
Liechtenstein,84,83,86
Hong Kong,84,81,86
Switzerland,84,82,85
Singapore,84,81,86
Italy,84,81,86
Vatican City,84,82,85
South Korea,84,80,87
Spain,83,81,86
Malta,83,81,85
Australia,83,81,85
Andorra,83,81,85
French Polynesia,83,81,85
Sweden,83,81,85
San Marino,83,82,84
Norway,83,81,85
Martinique,83,80,85
France,83,80,85
New Zealand,83,81,84
Canada,82,80,84
Gibraltar,82,80,84
Iceland,82,81,84
Guernsey,82,81,84
Ireland,82,81,84
Reunion,82,79,85
Israel,82,80,84
Luxembourg,82,80,84
Netherlands,82,80,83
Austria,82,80,84
Finland,82,79,84
Belgium,82,80,84
Portugal,82,79,84
United Kingdom,82,80,83
Slovenia,82,79,84
Cyprus,81,80,83
Denmark,81,79,83
Bermuda,81,78,84
Qatar,81,80,83
Taiwan,81,78,84
New Caledonia,80,77,84
Germany,80,78,83
Jersey,80,78,83
Maldives,80,80,81
Guadeloupe,80,77,83
Isle of Man,80,78,82
Saint Barthelemy,80,77,83
Greece,80,78,83
Saint Martin,80,77,83
Kuwait,80,78,82
Wallis and Futuna,80,79,80
Puerto Rico,79,75,83
Thailand,79,75,83
Chile,79,77,81
Bahrain,79,78,80
Falkland Islands,79,77,81
Croatia,79,76,82
Antigua and Barbuda,79,76,81
United Arab Emirates,79,77,81
Estonia,79,74,82
Faroe Islands,78,77,80
China,78,75,81
Turkey,78,75,81
Guam,78,74,82
United States,78,75,81
Cuba,78,75,80
Czech Republic,78,75,81
Uruguay,78,74,81
Saudi Arabia,77,76,79
Ecuador,77,75,80
Barbados,77,75,79
Saint Pierre and Miquelon,77,74,81
Northern Mariana Islands,77,75,79
French Guiana,77,74,80
Anguilla,77,74,81
Costa Rica,77,74,80
Algeria,77,75,78
Poland,76,73,80
Montenegro,76,73,80
Albania,76,74,79
Panama,76,73,80
Curacao,76,72,80
Sri Lanka,76,72,80
British Virgin Islands,76,73,79
Malaysia,76,73,78
Argentina,76,72,79
Latvia,75,71,80
Montserrat,75,74,77
Cayman Islands,75,73,78
Tokelau,75,74,76
Grenada,75,72,78
Slovakia,75,71,78
Bosnia and Herzegovina,75,73,77
Cook Islands,75,71,79
United States Virgin Islands,75,69,80
Mayotte,75,71,78
Aruba,74,72,77
Morocco,74,72,77
Hungary,74,71,78
Turks and Caicos Islands,74,72,77
Mexico,74,71,78
Cape Verde,74,70,79
Trinidad and Tobago,74,71,78
Nicaragua,74,71,77
Vietnam,74,69,79
Iran,74,71,77
Brunei,74,72,76
Lebanon,74,72,76
Sint Maarten,74,71,77
Bahamas,74,70,77
Lithuania,74,69,79
Tunisia,74,71,77
Jordan,74,72,76
Dominican Republic,74,71,77
Serbia,74,71,76
Romania,74,70,77
Mauritius,73,70,77
Oman,73,72,76
North Macedonia,73,71,76
Bangladesh,73,71,76
Colombia,73,70,77
North Korea,73,70,76
Azerbaijan,73,70,76
Palestine,73,71,75
Brazil,73,70,76
Peru,73,71,75
Armenia,73,67,78
Belarus,73,68,78
Dominica,72,69,76
American Samoa,72,70,75
Mongolia,72,68,77
Samoa,72,70,75
Greenland,72,70,75
Syria,72,68,76
Bhutan,72,70,74
Philippines,72,70,74
Libya,72,69,74
Saint Kitts and Nevis,72,68,75
Seychelles,71,68,76
Uzbekistan,71,69,74
Georgia,71,66,76
Bulgaria,71,68,75
El Salvador,71,66,75
Iraq,71,69,73
Saint Lucia,71,68,74
Tajikistan,71,69,73
Tonga,71,68,74
Niue,71,69,72
Venezuela,71,66,75
Western Sahara,70,69,73
Belize,70,67,74
Micronesia,70,67,74
Solomon Islands,70,69,72
Honduras,70,68,73
Jamaica,70,68,72
Vanuatu,70,68,73
Nepal,70,68,72
Kyrgyzstan,70,66,74
Paraguay,70,67,73
Egypt,70,67,72
Russia,70,64,75
Cambodia,69,67,72
Kazakhstan,69,65,72
Turkmenistan,69,65,72
Timor-Leste,69,67,70
Laos,68,66,71
Saint Vincent and the Grenadines,68,66,71
Sao Tome and Principe,68,66,71
Guatemala,68,65,71
Moldova,68,64,73
Ukraine,68,63,73
Fiji,68,66,70
Indonesia,68,66,70
Senegal,67,65,70
India,67,66,69
Kiribati,67,65,69
Myanmar,67,64,70
Rwanda,67,64,69
Tanzania,66,64,68
Eritrea,66,64,68
Pakistan,66,64,68
Guyana,65,62,69
Papua New Guinea,65,63,69
Botswana,65,63,68
Gabon,65,63,68
Ethiopia,65,62,68
Sudan,65,63,68
Palau,65,62,69
Madagascar,65,62,67
Marshall Islands,65,63,67
Bolivia,64,62,67
Tuvalu,64,61,69
Mauritania,64,62,66
Nauru,64,60,67
Ghana,63,61,66
Haiti,63,60,66
Yemen,63,60,67
Comoros,63,61,66
Uganda,63,61,65
Republic of the Congo,63,61,64
Gambia,62,61,64
Malawi,62,59,66
Afghanistan,62,59,66
Djibouti,62,60,65
Niger,62,60,63
Kenya,62,59,64
Burundi,61,60,63
Angola,61,59,64
Zambia,61,59,64
Togo,61,60,62
South Africa,61,58,64
Equatorial Guinea,61,59,63
Liberia,61,59,62
Cameroon,60,59,62
Sierra Leone,60,59,61
Benin,59,58,61
Guinea-Bissau,59,57,61
Burkina Faso,59,57,61
DR Congo,59,57,62
Mozambique,59,56,62
Mali,59,58,60
Zimbabwe,59,56,62
Guinea,58,57,60
Ivory Coast,58,57,60
Namibia,58,54,61
Eswatini,56,52,60
Somalia,56,54,58
South Sudan,55,54,57
Central African Republic,54,52,56
Nigeria,53,53,53
Lesotho,53,50,55
Chad,52,51,54
