Country Name,Maledrink,Femaledrink,Totaldrinkl,total,male,female
Afghanistan,36,0,0,62,59,66
Albania,11,2,6,76,74,79
Algeria,1,0,0,77,75,78
Andorra,18,5,12,83,81,85
Angola,42,12,3,61,59,64
Antigua and Barbuda,15,4,9,79,76,81
Argentina,33,14,4,76,72,79
Armenia,7,2,4,73,67,78
Australia,15,5,10,83,81,85
Austria,18,5,11,82,80,84
Azerbaijan,1,0,0,73,70,76
Bahamas,7,2,4,74,70,77
Bahrain,154,1,0,79,78,80
Bangladesh,8,0,0,73,71,76
Barbados,16,4,10,77,75,79
Belarus,17,5,10,73,68,78
Belgium,16,5,10,82,80,84
Belize,177,10,2,70,67,74
Benin,77,3,0,59,58,61
Bhutan,165,0,0,72,70,74
Bolivia,80,6,1,64,62,67
Bosnia and Herzegovina,12,2,7,75,73,77
Botswana,144,11,2,65,63,68
Brazil,7,11,3,73,70,76
Brunei,0,0,0,74,72,76
Bulgaria,19,5,12,71,68,75
Burkina Faso,58,18,3,59,57,61
Burundi,78,12,2,61,60,63
Cambodia,12,3,7,69,67,72
Cameroon,53,8,2,60,59,62
Canada,13,4,8,82,80,84
Central African Republic,117,2,0,54,52,56
Chad,69,2,0,52,51,54
Chile,65,13,4,79,77,81
China,9,2,6,78,75,81
Colombia,28,8,2,73,70,77
Comoros,163,2,0,63,61,66
Cook Islands,17,4,10,75,71,79
Costa Rica,124,6,1,77,74,80
Croatia,13,3,8,79,76,82
Cuba,9,2,6,78,75,80
Cyprus,158,16,4,81,80,83
Denmark,15,4,10,81,79,83
Djibouti,160,0,0,62,60,65
Dominica,11,2,7,72,69,76
Dominican Republic,10,2,6,74,71,77
DR Congo,15,1,0,59,57,62
Ecuador,67,5,1,77,75,80
Egypt,14,0,0,70,67,72
El Salvador,112,6,1,71,66,75
Equatorial Guinea,152,9,3,61,59,63
Eritrea,132,3,0,66,64,68
Estonia,17,5,10,79,74,82
Eswatini,159,14,3,56,52,60
Ethiopia,12,3,0,65,62,68
Fiji,6,1,3,68,66,70
Finland,16,4,10,82,79,84
France,19,5,12,83,80,85
Gabon,146,12,3,65,63,68
Gambia,142,5,1,62,61,64
Georgia,15,4,9,71,66,76
Germany,19,6,12,80,78,83
Ghana,47,4,1,63,61,66
Greece,16,4,10,80,78,83
Grenada,14,3,8,75,72,78
Guatemala,68,2,0,68,65,71
Guinea,75,1,0,58,57,60
Guinea-Bissau,149,9,2,59,57,61
Guyana,164,8,2,65,62,69
Haiti,4,1,3,63,60,66
Honduras,89,6,1,70,68,73
Hungary,17,5,11,74,71,78
Iceland,14,4,9,82,81,84
India,2,9,1,67,66,69
Indonesia,0,0,0,68,66,70
Iran,17,1,0,74,71,77
Iraq,35,0,0,71,69,73
Ireland,19,6,12,82,81,84
Israel,98,6,2,82,80,84
Italy,12,3,8,84,81,86
Ivory Coast,52,4,1,58,57,60
Jamaica,6,1,4,70,68,72
Japan,15,4,10,84,81,87
Jordan,83,0,0,74,72,76
Kazakhstan,8,2,5,69,65,72
Kenya,27,3,0,62,59,64
Kiribati,3,0,2,67,65,69
Kuwait,129,0,0,80,78,82
Kyrgyzstan,110,8,1,70,66,74
Laos,19,5,12,68,66,71
Latvia,21,6,13,75,71,80
Lebanon,119,2,0,74,72,76
Lesotho,147,8,1,53,50,55
Liberia,121,8,2,61,59,62
Libya,0,0,0,72,69,74
Lithuania,20,6,12,74,69,79
Luxembourg,18,6,12,82,80,84
Madagascar,50,3,0,65,62,67
Malawi,62,6,1,62,59,66
Malaysia,1,0,0,76,73,78
Maldives,174,3,0,80,80,81
Mali,59,2,0,59,58,60
Malta,12,3,8,83,81,85
Mauritania,126,0,0,64,62,66
Mauritius,157,7,2,73,70,77
Mexico,10,8,2,74,71,78
Micronesia,4,0,2,70,67,74
Moldova,20,5,12,68,64,73
Mongolia,9,2,5,72,68,77
Montenegro,19,5,12,76,73,80
Morocco,0,0,0,74,72,77
Mozambique,48,4,1,59,56,62
Myanmar,3,0,2,67,64,70
Namibia,145,5,1,58,54,61
Nauru,7,1,4,64,60,67
Nepal,49,1,0,70,68,72
Netherlands,14,4,9,82,80,83
New Zealand,16,5,10,83,81,84
Nicaragua,106,8,2,74,71,77
Niger,54,0,0,62,60,63
Nigeria,6,9,2,53,53,53
Niue,16,3,9,71,69,72
North Korea,6,1,4,73,70,76
North Macedonia,10,2,6,73,71,76
Norway,10,3,7,83,81,85
Oman,127,1,0,73,72,76
Pakistan,5,0,0,66,64,68
Panama,128,12,3,76,73,80
Papua New Guinea,3,0,2,65,63,69
Paraguay,109,10,2,70,67,73
Peru,44,10,3,73,71,75
Philippines,11,2,7,72,70,74
Poland,18,5,11,76,73,80
Portugal,19,5,12,82,79,84
Qatar,143,1,0,81,80,83
Romania,19,5,12,74,70,77
Russia,17,4,10,70,64,75
Rwanda,76,13,3,67,64,69
Saint Kitts and Nevis,10,2,6,72,68,75
Saint Lucia,15,3,9,71,68,74
Saint Vincent and the Grenadines,11,2,7,68,66,71
Samoa,4,0,2,72,70,75
Sao Tome and Principe,187,9,2,68,66,71
Saudi Arabia,41,0,0,77,76,79
Senegal,72,1,0,67,65,70
Serbia,14,3,8,74,71,76
Seychelles,196,13,4,71,68,76
Sierra Leone,102,9,1,60,59,61
Singapore,2,0,2,84,81,86
Slovakia,17,5,11,75,71,78
Slovenia,18,5,12,82,79,84
Solomon Islands,2,0,1,70,69,72
Somalia,70,0,0,56,54,58
South Africa,24,15,3,61,58,64
South Korea,12,4,8,84,80,87
Spain,19,5,12,83,81,86
Sri Lanka,61,4,1,76,72,80
Sweden,13,4,9,83,81,85
Switzerland,17,5,11,84,82,85
Syria,60,0,0,72,68,76
Tajikistan,95,1,0,71,69,73
Tanzania,22,19,4,66,64,68
Thailand,13,3,8,79,75,83
Timor-Leste,0,0,0,69,67,70
Togo,100,4,1,61,60,62
Tonga,0,0,0,71,68,74
Trinidad and Tobago,10,2,6,74,71,78
Tunisia,3,0,2,74,71,77
Turkey,18,3,0,78,75,81
Turkmenistan,111,5,1,69,65,72
Tuvalu,2,0,1,64,61,69
Uganda,31,20,4,63,61,65
Ukraine,14,3,8,68,63,73
United Arab Emirates,97,4,0,79,77,81
United Kingdom,17,5,11,82,80,83
United States,15,4,9,78,75,81
Uruguay,133,10,3,78,74,81
Uzbekistan,43,4,0,71,69,74
Vanuatu,3,0,2,70,68,73
Venezuela,51,5,1,71,66,75
Vietnam,12,3,7,74,69,79
Yemen,46,0,0,63,60,67
Zambia,63,7,1,61,59,64
Zimbabwe,74,7,1,59,56,62
